City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
236,Martapura,ID,75.29,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
241,Poum,NC,81.64,overcast clouds,-20.2333,164.0167,
243,Palembang,ID,77.09,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
248,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
253,Bac Lieu,VN,77.76,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
259,Codrington,AU,81.66,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
260,Nieuw Amsterdam,SR,80.62,scattered clouds,5.8833,-55.0833,Hotel Stardust
266,Port Hedland,AU,82.45,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
267,Cockburn Town,TC,77.56,clear sky,21.4612,-71.1419,Osprey Beach Hotel
271,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
275,Kavaratti,IN,80.4,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
288,Maceio,BR,80.04,clear sky,-9.6658,-35.7353,Poutur Pousada
291,Bodden Town,KY,84.0,few clouds,19.2833,-81.25,Will T Place
296,Boende,CD,76.98,light rain,-0.2167,20.8667,
303,Carmen,MX,86.04,scattered clouds,18.6333,-91.8333,Hotel Lossandes
304,Pilar,BR,78.73,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
306,Batticaloa,LK,75.31,overcast clouds,7.7102,81.6924,Grand Star Guest House
313,Souillac,MU,80.98,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
316,Dingle,PH,75.25,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
318,Lompoc,US,86.14,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
321,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
322,Panaba,MX,78.76,broken clouds,21.2833,-88.2667,Hotel California
